PLAYER,TEAM,INJURY1,INJURY2,STATUS,DATE1,DATE2,DAYS,CASH EARNED,first_name,last_name,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,DATE1_NEW,DATE2_NEW,Year
Dylan Covey,CHW,Shoulder,Shoulder,10-day,6/6 - 7/13,9/16 - 9/29,52,"$159,640 ",dylan,covey,592229,coved001,coveydy01,14825,2017,2020,6/6/2019,9/16/2019,2019
Lucas Giolito,CHW,,Arm,10-day,,9/14 - 9/29,31,"$95,511 ",lucas,giolito,608337,gioll001,giolilu01,15474,2016,2020,,9/14/2019,2019
Kyle Gibson,MIN,,Stomach,10-day,,9/1 - 9/10,10,"$436,830 ",kyle,gibson,502043,gibsk002,gibsoky01,10123,2013,2020,,9/1/2019,2019
Collin McHugh,HOU,Elbow,Elbow,10-day,5/21 - 6/24,8/31 - 9/29,65,"$2,026,895 ",collin,mchugh,543521,mchuc001,mchugco01,7531,2012,2019,5/21/2019,8/31/2019,2019
Brad Peacock,HOU,Shoulder,Shoulder,10-day,6/28 - 8/18,8/28 - 9/22,78,"$1,304,160 ",brad,peacock,502748,peacb001,peacobr01,5401,2011,2020,6/28/2019,8/28/2019,2019
Jordan Yamamoto,MIA,,Arm,10-day,,8/28 - 9/21,25,"$74,600 ",jordan,yamamoto,657141,yamaj001,yamamjo01,17585,2019,2020,,8/28/2019,2019
German Marquez,COL,,Arm,10-day,,8/23 - 9/29,38,"$204,288 ",german,marquez,608566,marqg001,marquge01,15038,2016,2020,,8/23/2019,2019
Chris Archer,PIT,Thumb,Shoulder,10-day,4/27 - 5/15,8/21 - 9/29,59,"$2,379,057 ",chris,archer,502042,archc001,archech01,6345,2012,2019,4/27/2019,8/21/2019,2019
Jon Gray,COL,,Foot,60-day,,8/21 - 9/29,40,"$629,040 ",jon,gray,592351,grayj003,grayjo02,14916,2015,2020,,8/21/2019,2019
Kyle Freeland,COL,,Finger,10-day,,8/21 - 9/21,40,"$121,520 ",kyle,freeland,607536,freek001,freelky01,16256,2017,2020,,8/21/2019,2019
Aaron Sanchez,HOU,,Pectoral,10-day,,8/21 - 9/29,40,"$838,720 ",aaron,sanchez,592717,sanca006,sanchaa01,11490,2014,2019,,8/21/2019,2019
Griffin Canning,LAA,Elbow,Elbow,10-day,8/1 - 8/13,8/20 - 9/29,54,"$161,136 ",griffin,canning,656288,canng001,cannigr01,19867,2019,2020,8/1/2019,8/20/2019,2019
Chris Sale,BOS,,Elbow,60-day,,8/17 - 9/29,44,"$3,548,380 ",chris,sale,519242,salec001,salech01,10603,2010,2019,,8/17/2019,2019
Robbie Ray,ARI,,Back,10-day,,8/16 - 8/25,10,"$325,270 ",robbie,ray,592662,ray-r002,rayro02,11486,2014,2020,,8/16/2019,2019
Chad Bettis,COL,,Hip,60-day,,8/14 - 9/29,47,"$840,172 ",chad,bettis,518452,bettc001,bettich01,10587,2013,2019,,8/14/2019,2019
Jake Arrieta,PHI,,Elbow,60-day,,8/14 - 9/29,47,"$6,317,223 ",jake,arrieta,453562,arrij001,arrieja01,4153,2010,2020,,8/14/2019,2019
Jordan Zimmermann,DET,Elbow,Back,10-day,4/26 - 6/19,8/5 - 8/17,68,"$9,139,812 ",jordan,zimmermann,519455,zimmj003,zimmejo02,4505,2009,2020,4/26/2019,8/5/2019,2019
David Price,BOS,Elbow,Wrist,10-day,5/3 - 5/20,8/5 - 9/1,46,"$7,666,682 ",david,price,456034,pricd001,priceda01,3184,2008,2019,5/3/2019,8/5/2019,2019
Yonny Chirinos,TB,,Finger,10-day,,8/5 - 9/21,48,"$144,960 ",yonny,chirinos,630023,chiry001,chiriyo01,16401,2018,2020,,8/5/2019,2019
Zach Davies,MIL,,Back,10-day,,8/5 - 9/29,56,"$782,768 ",zach,davies,605200,daviz001,davieza02,13183,2015,2020,,8/5/2019,2019
Michael Pineda,MIN,,Arm,10-day,,8/3 - 8/16,25,"$1,075,275 ",michael,pineda,501381,pinem001,pinedmi01,5372,2011,2020,,8/3/2019,2019
